Observation,Column,Row,Trough,Density,Weight Grams,PPFD,Spectrum
1,a,1,1,12,4,111,red
2,a,2,1,9,,111,red
3,a,3,1,3,2,124,red
4,a,4,1,2,,124,red
5,a,5,1,21,8,129,red
6,a,6,1,11,,129,red
7,a,7,1,12,5,140,red
8,a,8,1,5,,140,red
9,a,9,1,3,2,127,red
10,a,10,1,6,,127,red
11,a,11,1,6,4,120,red
12,a,12,1,8,,120,red
13,a,13,1,7,3,105,red
14,a,14,1,,,105,red
15,b,1,1,,,165,red
16,b,2,1,6,,165,red
17,b,3,1,9,11,207,red
18,b,4,1,5,,207,red
19,b,5,1,2,7,219,red
20,b,6,1,4,,219,red
21,b,7,1,3,3,217,red
22,b,8,1,9,,217,red
23,b,9,1,7,4,231,red
24,b,10,1,3,,231,red
25,b,11,1,5,11,217,red
26,b,12,1,3,,217,red
27,b,13,1,8,5,198,red
28,b,14,1,7,,198,red
29,c,1,1,,,178,red
30,c,2,1,3,,178,red
31,c,3,1,3,3,223,red
32,c,4,1,9,,223,red
33,c,5,1,6,9,234,red
34,c,6,1,3,,234,red
35,c,7,1,22,14,245,red
36,c,8,1,3,,245,red
37,c,9,1,11,7,238,red
38,c,10,1,12,,238,red
39,c,11,1,14,6,230,red
40,c,12,1,16,16,230,red
41,c,13,1,5,5,212,red
42,c,14,1,10,,212,red
43,d,1,1,3,1,116,red
44,d,2,1,11,,116,red
45,d,3,1,9,3,161,red
46,d,4,1,6,,161,red
47,d,5,1,5,7,157,red
48,d,6,1,9,,157,red
49,d,7,1,3,3,164,red
50,d,8,1,3,,164,red
51,d,9,1,8,5,172,red
52,d,10,1,9,,172,red
53,d,11,1,8,6,163,red
54,d,12,1,7,,163,red
55,d,13,1,7,2,141,red
56,d,14,1,,,141,red
57,a,1,2,,,111,red
58,a,2,2,11,,111,red
59,a,3,2,8,4,124,red
60,a,4,2,2,,124,red
61,a,5,2,4,2,129,red
62,a,6,2,2,,129,red
63,a,7,2,9,6,140,red
64,a,8,2,11,,140,red
65,a,9,2,5,4,127,red
66,a,10,2,6,,127,red
67,a,11,2,13,9,120,red
68,a,12,2,5,,120,red
69,a,13,2,14,8,105,red
70,a,14,2,11,,105,red
71,b,1,2,5,4,165,red
72,b,2,2,1,,165,red
73,b,3,2,9,9,207,red
74,b,4,2,3,,207,red
75,b,5,2,8,2,219,red
76,b,6,2,8,,219,red
77,b,7,2,10,10,217,red
78,b,8,2,5,,217,red
79,b,9,2,9,10,231,red
80,b,10,2,8,,231,red
81,b,11,2,6,5,217,red
82,b,12,2,7,,217,red
83,b,13,2,8,7,198,red
84,b,14,2,,,198,red
85,c,1,2,,,178,red
86,c,2,2,7,,178,red
87,c,3,2,3,4,223,red
88,c,4,2,3,,223,red
89,c,5,2,7,7,234,red
90,c,6,2,11,,234,red
91,c,7,2,2,1,245,red
92,c,8,2,8,,245,red
93,c,9,2,19,12,238,red
94,c,10,2,3,,238,red
95,c,11,2,8,6,230,red
96,c,12,2,10,,230,red
97,c,13,2,4,2,212,red
98,c,14,2,8,,212,red
99,d,1,2,4,,116,red
100,d,2,2,8,,116,red
101,d,3,2,9,7,161,red
102,d,4,2,3,,161,red
103,d,5,2,6,5,157,red
104,d,6,2,2,,157,red
105,d,7,2,10,11,164,red
106,d,8,2,10,,164,red
107,d,9,2,1,1,172,red
108,d,10,2,4,4,172,red
109,d,11,2,2,1,163,red
110,d,12,2,5,,163,red
111,d,13,2,6,4,141,red
112,d,14,2,2,,141,red
113,a,1,3,3,1,102,blue
114,a,2,3,6,,102,blue
115,a,3,3,1,2,128,blue
116,a,4,3,4,,128,blue
117,a,5,3,5,1,140,blue
118,a,6,3,4,,140,blue
119,a,7,3,5,4,159,blue
120,a,8,3,4,,159,blue
121,a,9,3,1,0,155,blue
122,a,10,3,8,,155,blue
123,a,11,3,4,3,154,blue
124,a,12,3,5,,154,blue
125,a,13,3,4,1,139,blue
126,a,14,3,,,139,blue
127,b,1,3,,,167,blue
128,b,2,3,6,,167,blue
129,b,3,3,9,3,217,blue
130,b,4,3,8,,217,blue
131,b,5,3,7,7,235,blue
132,b,6,3,4,,235,blue
133,b,7,3,5,3,246,blue
134,b,8,3,11,,246,blue
135,b,9,3,6,7,245,blue
136,b,10,3,3,,245,blue
137,b,11,3,5,1,230,blue
138,b,12,3,6,,230,blue
139,b,13,3,2,1,206,blue
140,b,14,3,3,,206,blue
141,c,1,3,7,6,155,blue
142,c,2,3,4,,155,blue
143,c,3,3,5,2,209,blue
